commentId,videoId,authorChannelId,likeCount,publishedAt
z12ky1sornrjcvj0r22xftgazvapznttm,-0XiiT5dR_Q,UCZctNL500fIU3tqGjue07sw,0,11/03/2017 22:09:48
z12dibrojm3pjft1523fitlrsybuzl10y,FaPtbs8VfCg,UCwhcXYqJYM-oYY3V0_pywoA,0,11/03/2017 22:38:11
z12xst0jzxjxcdnpz04cfpn5rxi1xvvadms0k,FaPtbs8VfCg,UCz5k3hmRHBQh1FfrUrDRoGA,0,09/03/2017 07:25:22
z13lhr0grsuky5ono22qflbikzqkvbvb104,vim9AXzw3Z4,UCXZKJgTn19Muoth1jIkZDaQ,0,14/03/2017 09:37:50
z13gt5dikovtw55uk222dxzz2nemwn2fj,vim9AXzw3Z4,UCFcQABeDRWPQk1yVSk_mApg,0,12/03/2017 20:46:44
z131vx0wkqmku1bkc22ec5fqokmah5lph04,6g35Zhlhzec,UC5QsvvuxAJJRNrS78P-s61w,0,02/03/2017 15:47:08
z13igpojcv3mhdalh22qfprbzknrv34o104,6g35Zhlhzec,UClyPuLgnxPFObIzUECfFVmQ,0,10/02/2017 15:48:41
z12fyhjrqsajjjiid04cizcouy3fgjcqzis,NDDXlHpCvyw,UCMVJAZUPZp-ez9xgmNI071g,0,10/03/2017 18:07:34
z133yfk4qxighn1si230uj0jjwa4uxbak04,NDDXlHpCvyw,UCJakwD1SXrXTa6hwnf566Eg,0,20/02/2017 04:23:02
z12xirxwdy3he3waq04cfpj5kvzguryjbac,Xl9c9VC_l5k,UCZctNL500fIU3tqGjue07sw,0,13/03/2017 19:59:56
z123zd1jkvmxetxig04cit2q1njzijsa5ms0k,Xl9c9VC_l5k,UCQ5M3KdMArjEtJdWoM_DXGA,0,10/03/2017 19:07:37
z13thnr5blz5jvema22fvjoyrnvihpeil04,XPTyYouxK0w,UCeVWol_nyG1Sb2KGg4II9xw,0,03/03/2017 17:45:10
z130gzwgnr2ltfdfv22tw5mhvy3ughoak04,XPTyYouxK0w,UCbueWZNir5NII6l1ZwzzCVw,0,28/02/2017 09:44:45
z13uhtwguw2mc5xe522cjhnh0kikilywr04,QD2meGaeIZ0,UCwamEf7lHSHHdOeX-vv8tEA,0,06/03/2017 10:14:02
z135xnbj4zb2eju15222v3wigz3cchuuy,QD2meGaeIZ0,UCyQo5kDNDCHMkfAgiG3fy3A,0,04/03/2017 14:46:46
z13lff5qznvtjf4ee23de3mapnewjp3xt04,7nNNKalWfSw,UCj4ekUpmOWuyjdtlmwYUmkA,0,11/03/2017 10:11:45
z121ydshdl2rdn51x23gyphiozqrj1hks,7nNNKalWfSw,UC23zt91mrhw5zH9NnARqnJg,0,07/03/2017 13:34:45
